iter,wloc
0,98
0,103
0,125
0,157
0,161
0,162
0,169
0,170
0,174
0,177
0,199
0,200
0,202
0,225
0,227
0,260
0,266
0,319
0,321
0,373
0,418
0,443
0,462
0,475
0,488
0,489
0,515
0,516
0,517
0,518
0,520
0,539
0,540
0,596
0,598
0,613
0,630
0,639
0,696
0,721
0,752
0,764
0,768
0,782
0,786
0,820
0,879
0,888
0,899
0,905
1,5
1,22
1,35
1,134
1,149
1,158
1,219
1,239
1,255
1,256
1,430
1,435
1,445
1,526
1,528
1,578
1,597
1,662
1,666
1,695
1,697
1,729
1,825
1,844
1,908
2,4
2,76
2,116
2,121
2,156
2,172
2,187
2,205
2,332
2,366
2,416
2,471
2,481
2,502
2,505
2,510
2,530
2,544
2,584
2,640
2,648
2,679
2,723
2,896
2,906
3,7
3,20
3,32
3,40
3,88
3,91
3,97
3,108
3,131
3,143
3,232
3,337
3,345
3,412
3,580
3,610
3,641
3,676
3,677
3,841
3,860
3,884
3,894
3,895
3,902
4,87
4,92
4,95
4,124
4,145
4,173
4,231
4,235
4,237
4,269
4,299
4,325
4,335
4,385
4,402
4,466
4,531
4,565
4,601
4,642
4,705
4,708
4,715
4,735
4,834
5,221
5,236
5,264
5,273
5,290
5,301
5,320
5,326
5,362
5,386
5,420
5,457
5,491
5,599
5,612
5,680
5,694
5,703
5,725
5,734
5,772
5,778
5,797
5,827
5,829
6,10
6,16
6,79
6,127
6,141
6,168
6,193
6,243
6,245
6,281
6,315
6,318
6,389
6,396
6,442
6,453
6,483
6,524
6,536
6,592
6,616
6,758
6,787
6,857
6,877
7,26
7,30
7,78
7,114
7,126
7,137
7,148
7,198
7,211
7,247
7,249
7,257
7,291
7,333
7,432
7,455
7,508
7,523
7,533
7,538
7,571
7,611
7,789
7,818
7,855
8,37
8,151
8,171
8,184
8,223
8,246
8,261
8,272
8,338
8,377
8,409
8,419
8,434
8,472
8,605
8,673
8,674
8,687
8,699
8,704
8,713
8,751
8,767
8,886
8,892
9,2
9,81
9,110
9,129
9,179
9,197
9,214
9,228
9,277
9,295
9,376
9,379
9,401
9,424
9,474
9,511
9,661
9,709
9,727
9,770
9,795
9,808
9,812
9,831
9,904
10,8
10,19
10,85
10,112
10,150
10,196
10,215
10,222
10,270
10,307
10,331
10,485
10,521
10,546
10,561
10,572
10,606
10,629
10,668
10,722
10,728
10,798
10,847
10,868
10,874
