iter,mse,r_squared,max_obs,upper_10
0,0.021730677560393,0.349536996501918,0.891692216861543,7.60869565217391
1,0.017950589075314,0.462686147174261,0.891692216861543,13.0434782608696
2,0.0156476662400583,0.531619391436049,0.891692216861543,17.3913043478261
3,0.0112353099538834,0.663694174398181,0.891692216861543,20.6521739130435
4,0.0111416607692503,0.666497369546712,0.910657604204348,23.9130434782609
5,0.0106349647648681,0.681664269150047,0.910657604204348,27.1739130434783
6,0.0107552539587691,0.678063660281052,0.93699477943554,31.5217391304348
7,0.0100751638378234,0.698420755060555,0.93699477943554,33.695652173913
8,0.00979593758355379,0.706778816952686,0.948356473018519,39.1304347826087
9,0.00960341739001984,0.712541511786849,0.948356473018519,42.3913043478261
10,0.00951451584146116,0.715202596243622,0.948356473018519,45.6521739130435
